<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,D,20220511,000000,70450.0000000,71443.0000000,67551.0000000,68020.0000000,2623076
SPFB.Si,D,20220512,000000,67792.0000000,68484.0000000,64163.0000000,64237.0000000,2794415
SPFB.Si,D,20220513,000000,64458.0000000,66630.0000000,63613.0000000,64985.0000000,3331652
SPFB.Si,D,20220516,000000,65045.0000000,65489.0000000,63526.0000000,64400.0000000,2922904
SPFB.Si,D,20220517,000000,64266.0000000,65185.0000000,64000.0000000,64712.0000000,2302257
SPFB.Si,D,20220518,000000,64710.0000000,65370.0000000,63962.0000000,64500.0000000,1961035
SPFB.Si,D,20220519,000000,64525.0000000,64859.0000000,62541.0000000,62734.0000000,2376912
SPFB.Si,D,20220520,000000,62800.0000000,62918.0000000,58550.0000000,61650.0000000,5236061
SPFB.Si,D,20220523,000000,61688.0000000,62225.0000000,59000.0000000,59178.0000000,3310838
SPFB.Si,D,20220524,000000,59233.0000000,59685.0000000,57700.0000000,58348.0000000,2842419
SPFB.Si,D,20220525,000000,58319.0000000,61600.0000000,57748.0000000,61291.0000000,3832300
SPFB.Si,D,20220526,000000,61527.0000000,66488.0000000,60925.0000000,65580.0000000,5030613
SPFB.Si,D,20220527,000000,65581.0000000,68290.0000000,65328.0000000,67980.0000000,5606277
SPFB.Si,D,20220530,000000,68005.0000000,68399.0000000,62046.0000000,62730.0000000,4981782
SPFB.Si,D,20220531,000000,62700.0000000,64586.0000000,60814.0000000,62027.0000000,3890987
SPFB.Si,D,20220601,000000,62097.0000000,63125.0000000,61592.0000000,61901.0000000,2013402
SPFB.Si,D,20220602,000000,61901.0000000,62886.0000000,61427.0000000,62493.0000000,1873192
SPFB.Si,D,20220603,000000,62519.0000000,63692.0000000,60864.0000000,61146.0000000,3046868
SPFB.Si,D,20220606,000000,60966.0000000,62500.0000000,60700.0000000,61417.0000000,2526090
SPFB.Si,D,20220607,000000,61521.0000000,61880.0000000,60686.0000000,61455.0000000,2002866
SPFB.Si,D,20220608,000000,61529.0000000,61774.0000000,59434.0000000,59535.0000000,2978906
SPFB.Si,D,20220609,000000,59500.0000000,60359.0000000,57970.0000000,60273.0000000,3811142
SPFB.Si,D,20220610,000000,60320.0000000,60465.0000000,56790.0000000,56999.0000000,4206666
SPFB.Si,D,20220614,000000,56917.0000000,58536.0000000,55657.0000000,56550.0000000,3141994
SPFB.Si,D,20220615,000000,62140.0000000,62546.0000000,61031.0000000,62194.0000000,1058254
SPFB.Si,D,20220616,000000,62125.0000000,62930.0000000,61038.0000000,61277.0000000,2328734
SPFB.Si,D,20220617,000000,61206.0000000,62267.0000000,60824.0000000,62031.0000000,2119999
SPFB.Si,D,20220620,000000,61954.0000000,62474.0000000,60728.0000000,61168.0000000,2108180
SPFB.Si,D,20220621,000000,61130.0000000,61147.0000000,59701.0000000,59936.0000000,2391600
SPFB.Si,D,20220622,000000,59905.0000000,60081.0000000,58333.0000000,58365.0000000,2232846
SPFB.Si,D,20220623,000000,58350.0000000,58970.0000000,57678.0000000,58290.0000000,2598681
SPFB.Si,D,20220624,000000,58318.0000000,58799.0000000,57901.0000000,58048.0000000,1785562
SPFB.Si,D,20220627,000000,58098.0000000,58728.0000000,56355.0000000,56539.0000000,2290003
SPFB.Si,D,20220628,000000,56550.0000000,56783.0000000,54016.0000000,54197.0000000,2390828
SPFB.Si,D,20220629,000000,54180.0000000,56896.0000000,52165.0000000,56837.0000000,5847835
SPFB.Si,D,20220630,000000,56897.0000000,57652.0000000,53770.0000000,53868.0000000,4289612
SPFB.Si,D,20220701,000000,54050.0000000,59399.0000000,53010.0000000,57698.0000000,5734392
SPFB.Si,D,20220704,000000,57777.0000000,59587.0000000,56620.0000000,58105.0000000,3513286
SPFB.Si,D,20220705,000000,58149.0000000,63960.0000000,57605.0000000,63469.0000000,5710275
SPFB.Si,D,20220706,000000,63577.0000000,66740.0000000,62527.0000000,64872.0000000,4996850
SPFB.Si,D,20220707,000000,64935.0000000,65750.0000000,62910.0000000,63096.0000000,3363447
SPFB.Si,D,20220708,000000,63050.0000000,63650.0000000,61802.0000000,63090.0000000,2897737
SPFB.Si,D,20220711,000000,63162.0000000,64285.0000000,60251.0000000,60321.0000000,3747149
SPFB.Si,D,20220712,000000,60319.0000000,61390.0000000,58700.0000000,60800.0000000,4071712
SPFB.Si,D,20220713,000000,60800.0000000,61561.0000000,59560.0000000,59701.0000000,3403295
SPFB.Si,D,20220714,000000,59717.0000000,60990.0000000,59050.0000000,60798.0000000,2767018
SPFB.Si,D,20220715,000000,60826.0000000,61083.0000000,58436.0000000,58990.0000000,3119495
SPFB.Si,D,20220718,000000,59029.0000000,59120.0000000,57630.0000000,57653.0000000,2019298
SPFB.Si,D,20220719,000000,57675.0000000,58436.0000000,56663.0000000,56871.0000000,2774692
SPFB.Si,D,20220720,000000,56825.0000000,56975.0000000,56033.0000000,56356.0000000,2414238
SPFB.Si,D,20220721,000000,56364.0000000,60485.0000000,56157.0000000,58450.0000000,4681921
SPFB.Si,D,20220722,000000,58450.0000000,60381.0000000,57927.0000000,58660.0000000,3907138
SPFB.Si,D,20220725,000000,58663.0000000,60470.0000000,58500.0000000,60464.0000000,2927936
SPFB.Si,D,20220726,000000,60420.0000000,63444.0000000,60000.0000000,63304.0000000,3954659
SPFB.Si,D,20220727,000000,63313.0000000,63420.0000000,60786.0000000,61269.0000000,3964556
SPFB.Si,D,20220728,000000,61268.0000000,63381.0000000,60900.0000000,62828.0000000,3869808
SPFB.Si,D,20220729,000000,62820.0000000,64184.0000000,62214.0000000,63671.0000000,3364715
SPFB.Si,D,20220801,000000,63671.0000000,64691.0000000,60900.0000000,61000.0000000,4141994
SPFB.Si,D,20220802,000000,61010.0000000,62266.0000000,60553.0000000,61813.0000000,3186647
SPFB.Si,D,20220803,000000,61812.0000000,62444.0000000,61021.0000000,62269.0000000,2147878
SPFB.Si,D,20220804,000000,62295.0000000,62525.0000000,61200.0000000,61540.0000000,2213271
SPFB.Si,D,20220805,000000,61550.0000000,62950.0000000,61238.0000000,62302.0000000,2412518
SPFB.Si,D,20220808,000000,62334.0000000,62789.0000000,60838.0000000,62695.0000000,2632979
SPFB.Si,D,20220809,000000,62700.0000000,62737.0000000,61311.0000000,61600.0000000,1849812
SPFB.Si,D,20220810,000000,61581.0000000,62367.0000000,61353.0000000,62016.0000000,1727090
SPFB.Si,D,20220811,000000,62015.0000000,62222.0000000,61622.0000000,61867.0000000,1684284
SPFB.Si,D,20220812,000000,61853.0000000,62720.0000000,61010.0000000,61160.0000000,2640927
SPFB.Si,D,20220815,000000,61230.0000000,62900.0000000,61038.0000000,62495.0000000,2174451
SPFB.Si,D,20220816,000000,62504.0000000,62800.0000000,61406.0000000,61573.0000000,1607569
SPFB.Si,D,20220817,000000,61572.0000000,62130.0000000,60480.0000000,61127.0000000,1991511
SPFB.Si,D,20220818,000000,61122.0000000,61586.0000000,59562.0000000,59770.0000000,2385714
SPFB.Si,D,20220819,000000,59810.0000000,60149.0000000,58754.0000000,59688.0000000,1862442
SPFB.Si,D,20220822,000000,59689.0000000,60896.0000000,59501.0000000,60152.0000000,2427527
SPFB.Si,D,20220823,000000,60148.0000000,60830.0000000,60000.0000000,60496.0000000,1688011
SPFB.Si,D,20220824,000000,60497.0000000,60790.0000000,60104.0000000,60212.0000000,1377407
SPFB.Si,D,20220825,000000,60231.0000000,61079.0000000,59834.0000000,60920.0000000,2269900
SPFB.Si,D,20220826,000000,60901.0000000,61070.0000000,60100.0000000,60887.0000000,1681313
SPFB.Si,D,20220829,000000,60903.0000000,61215.0000000,60450.0000000,60743.0000000,1435361
SPFB.Si,D,20220830,000000,60746.0000000,61235.0000000,59654.0000000,59716.0000000,1901112
SPFB.Si,D,20220831,000000,59719.0000000,60997.0000000,59680.0000000,60446.0000000,1676403
SPFB.Si,D,20220901,000000,60460.0000000,60850.0000000,60244.0000000,60590.0000000,1170708
SPFB.Si,D,20220902,000000,60565.0000000,61294.0000000,60462.0000000,61214.0000000,1125512
SPFB.Si,D,20220905,000000,61215.0000000,61836.0000000,60523.0000000,60970.0000000,1841742
SPFB.Si,D,20220906,000000,60969.0000000,61457.0000000,60810.0000000,61405.0000000,1106397
SPFB.Si,D,20220907,000000,61399.0000000,61726.0000000,60902.0000000,61188.0000000,1240348
SPFB.Si,D,20220908,000000,61163.0000000,61300.0000000,60621.0000000,60680.0000000,1010519
SPFB.Si,D,20220909,000000,60700.0000000,60782.0000000,60331.0000000,60565.0000000,1024130
SPFB.Si,D,20220912,000000,60586.0000000,60824.0000000,60120.0000000,60378.0000000,954530
SPFB.Si,D,20220913,000000,60392.0000000,60550.0000000,59700.0000000,60180.0000000,1360046
SPFB.Si,D,20220914,000000,61866.0000000,61887.0000000,61300.0000000,61406.0000000,557565
SPFB.Si,D,20220915,000000,61420.0000000,62428.0000000,61028.0000000,62145.0000000,1668846
SPFB.Si,D,20220916,000000,62145.0000000,62311.0000000,61350.0000000,61575.0000000,1566681
SPFB.Si,D,20220919,000000,61580.0000000,61900.0000000,61050.0000000,61136.0000000,1268959
SPFB.Si,D,20220920,000000,61137.0000000,63174.0000000,60910.0000000,62935.0000000,2648131
SPFB.Si,D,20220921,000000,62966.0000000,64958.0000000,62175.0000000,62560.0000000,2521210
SPFB.Si,D,20220922,000000,62567.0000000,62870.0000000,60426.0000000,60726.0000000,2022365
SPFB.Si,D,20220923,000000,60789.0000000,61369.0000000,58385.0000000,59338.0000000,3086182
SPFB.Si,D,20220926,000000,59359.0000000,60187.0000000,58833.0000000,59651.0000000,1707021
SPFB.Si,D,20220927,000000,59680.0000000,60090.0000000,59100.0000000,60003.0000000,1307382
SPFB.Si,D,20220928,000000,60015.0000000,60333.0000000,58107.0000000,58650.0000000,1799165
SPFB.Si,D,20220929,000000,58650.0000000,59111.0000000,56832.0000000,57138.0000000,2264767
SPFB.Si,D,20220930,000000,57183.0000000,58950.0000000,51565.0000000,58932.0000000,4039973
SPFB.Si,D,20221003,000000,58894.0000000,59280.0000000,56865.0000000,58307.0000000,2004952
SPFB.Si,D,20221004,000000,58273.0000000,58942.0000000,57543.0000000,57751.0000000,1410933
SPFB.Si,D,20221005,000000,57751.0000000,60160.0000000,57220.0000000,59808.0000000,1705224
SPFB.Si,D,20221006,000000,59777.0000000,60360.0000000,59111.0000000,59835.0000000,1296776
SPFB.Si,D,20221007,000000,59834.0000000,60995.0000000,58036.0000000,58383.0000000,2051448
SPFB.Si,D,20221010,000000,58383.0000000,60845.0000000,58383.0000000,59964.0000000,1575545
SPFB.Si,D,20221011,000000,59968.0000000,61477.0000000,59222.0000000,60044.0000000,2051709
SPFB.Si,D,20221012,000000,60050.0000000,60798.0000000,58203.0000000,60609.0000000,1884248
SPFB.Si,D,20221013,000000,60577.0000000,61532.0000000,60041.0000000,61150.0000000,1463936
SPFB.Si,D,20221014,000000,61121.0000000,61757.0000000,60322.0000000,60520.0000000,1450363
SPFB.Si,D,20221017,000000,60523.0000000,60770.0000000,59652.0000000,59864.0000000,1181521
SPFB.Si,D,20221018,000000,59868.0000000,60599.0000000,59610.0000000,60475.0000000,1047815
SPFB.Si,D,20221019,000000,60481.0000000,60720.0000000,59452.0000000,60042.0000000,985433
SPFB.Si,D,20221020,000000,60040.0000000,60870.0000000,59774.0000000,60577.0000000,1034449
SPFB.Si,D,20221021,000000,60589.0000000,60734.0000000,59836.0000000,60500.0000000,870450
SPFB.Si,D,20221024,000000,60504.0000000,61071.0000000,60320.0000000,60742.0000000,875334
SPFB.Si,D,20221025,000000,60742.0000000,61648.0000000,60428.0000000,61600.0000000,884642
SPFB.Si,D,20221026,000000,61601.0000000,61850.0000000,60627.0000000,60878.0000000,880942
SPFB.Si,D,20221027,000000,60879.0000000,61629.0000000,60559.0000000,61573.0000000,852428
SPFB.Si,D,20221028,000000,61572.0000000,62073.0000000,61332.0000000,61660.0000000,693834
SPFB.Si,D,20221031,000000,61663.0000000,62270.0000000,61182.0000000,61281.0000000,734439
SPFB.Si,D,20221101,000000,61289.0000000,61625.0000000,60915.0000000,61230.0000000,594521
SPFB.Si,D,20221102,000000,61230.0000000,62100.0000000,61205.0000000,62093.0000000,687906
SPFB.Si,D,20221103,000000,62100.0000000,62390.0000000,61668.0000000,61894.0000000,675398
SPFB.Si,D,20221107,000000,61875.0000000,61875.0000000,60823.0000000,61120.0000000,728594
SPFB.Si,D,20221108,000000,61127.0000000,61400.0000000,60722.0000000,61060.0000000,669768
SPFB.Si,D,20221109,000000,61061.0000000,61864.0000000,61000.0000000,61831.0000000,751170
SPFB.Si,D,20221110,000000,61848.0000000,61922.0000000,60513.0000000,60761.0000000,836662
SPFB.Si,D,20221111,000000,60742.0000000,60990.0000000,60302.0000000,60714.0000000,877271
SPFB.Si,D,20221114,000000,60728.0000000,61128.0000000,60520.0000000,61026.0000000,955360
SPFB.Si,D,20221115,000000,61000.0000000,61050.0000000,60337.0000000,60760.0000000,859485
SPFB.Si,D,20221116,000000,60764.0000000,60889.0000000,60362.0000000,60627.0000000,712334
SPFB.Si,D,20221117,000000,60630.0000000,61015.0000000,60605.0000000,60877.0000000,570769
SPFB.Si,D,20221118,000000,60878.0000000,61222.0000000,60675.0000000,60870.0000000,659178
SPFB.Si,D,20221121,000000,60883.0000000,61338.0000000,60868.0000000,61060.0000000,582603
SPFB.Si,D,20221122,000000,61058.0000000,61199.0000000,60611.0000000,60705.0000000,583574
SPFB.Si,D,20221123,000000,60720.0000000,61398.0000000,60646.0000000,61215.0000000,658267
SPFB.Si,D,20221124,000000,61201.0000000,61201.0000000,60684.0000000,61041.0000000,827437
SPFB.Si,D,20221125,000000,61043.0000000,61070.0000000,60560.0000000,60823.0000000,1115691
SPFB.Si,D,20221128,000000,60830.0000000,61480.0000000,60830.0000000,61443.0000000,771251
SPFB.Si,D,20221129,000000,61419.0000000,61607.0000000,60921.0000000,61248.0000000,785201
SPFB.Si,D,20221130,000000,61241.0000000,61286.0000000,60880.0000000,61000.0000000,649412
SPFB.Si,D,20221201,000000,61017.0000000,61613.0000000,60981.0000000,61503.0000000,808208
SPFB.Si,D,20221202,000000,61504.0000000,62500.0000000,61504.0000000,62446.0000000,686488
SPFB.Si,D,20221205,000000,62406.0000000,62730.0000000,62067.0000000,62413.0000000,783072
SPFB.Si,D,20221206,000000,62413.0000000,63436.0000000,62413.0000000,63400.0000000,723416
SPFB.Si,D,20221207,000000,63404.0000000,63404.0000000,62760.0000000,63110.0000000,621651
SPFB.Si,D,20221208,000000,63100.0000000,63137.0000000,62207.0000000,62859.0000000,1004165
SPFB.Si,D,20221209,000000,62860.0000000,62861.0000000,62133.0000000,62245.0000000,971247
SPFB.Si,D,20221212,000000,62259.0000000,63233.0000000,62259.0000000,62925.0000000,776888
SPFB.Si,D,20221213,000000,62941.0000000,63399.0000000,62905.0000000,62933.0000000,667360
SPFB.Si,D,20221214,000000,63433.0000000,64879.0000000,63433.0000000,64640.0000000,426942
SPFB.Si,D,20221215,000000,64669.0000000,65500.0000000,64250.0000000,64752.0000000,1447664
SPFB.Si,D,20221216,000000,64764.0000000,65480.0000000,64550.0000000,65474.0000000,745179
SPFB.Si,D,20221219,000000,65474.0000000,68327.0000000,65474.0000000,67920.0000000,1906282
SPFB.Si,D,20221220,000000,67963.0000000,69100.0000000,67282.0000000,68739.0000000,1529719
SPFB.Si,D,20221221,000000,68750.0000000,71000.0000000,68750.0000000,70992.0000000,1389559
SPFB.Si,D,20221222,000000,70998.0000000,71675.0000000,68023.0000000,68119.0000000,2196143
SPFB.Si,D,20221223,000000,68125.0000000,69485.0000000,66873.0000000,69283.0000000,1769000
SPFB.Si,D,20221226,000000,69277.0000000,69432.0000000,67350.0000000,68165.0000000,1558479
SPFB.Si,D,20221227,000000,68154.0000000,70650.0000000,67650.0000000,70046.0000000,1590503
SPFB.Si,D,20221228,000000,70065.0000000,72490.0000000,69999.0000000,72251.0000000,1542927
SPFB.Si,D,20221229,000000,72250.0000000,72725.0000000,70535.0000000,71308.0000000,2174641
SPFB.Si,D,20221230,000000,71277.0000000,71700.0000000,69410.0000000,70056.0000000,2178468
SPFB.Si,D,20230103,000000,70105.0000000,72280.0000000,69873.0000000,72236.0000000,920700
SPFB.Si,D,20230104,000000,72227.0000000,72600.0000000,71310.0000000,72530.0000000,846368
SPFB.Si,D,20230105,000000,72510.0000000,72844.0000000,71675.0000000,72563.0000000,708928
SPFB.Si,D,20230106,000000,72530.0000000,72707.0000000,71560.0000000,72108.0000000,848286
SPFB.Si,D,20230109,000000,72100.0000000,72100.0000000,70001.0000000,70350.0000000,1354959
SPFB.Si,D,20230110,000000,70356.0000000,70608.0000000,69731.0000000,70223.0000000,943179
SPFB.Si,D,20230111,000000,70240.0000000,70552.0000000,68822.0000000,69149.0000000,1205827
SPFB.Si,D,20230112,000000,69140.0000000,69140.0000000,68050.0000000,68190.0000000,872953
SPFB.Si,D,20230113,000000,68200.0000000,69699.0000000,67753.0000000,69590.0000000,1496177
SPFB.Si,D,20230116,000000,69615.0000000,69664.0000000,68524.0000000,68989.0000000,995526
SPFB.Si,D,20230117,000000,69000.0000000,70130.0000000,68914.0000000,69831.0000000,835868
SPFB.Si,D,20230118,000000,69833.0000000,69975.0000000,69070.0000000,69354.0000000,1058188
SPFB.Si,D,20230119,000000,69327.0000000,69620.0000000,69225.0000000,69300.0000000,694026
SPFB.Si,D,20230120,000000,69305.0000000,69589.0000000,69020.0000000,69461.0000000,784394
SPFB.Si,D,20230123,000000,69498.0000000,69945.0000000,68921.0000000,69799.0000000,967899
SPFB.Si,D,20230124,000000,69790.0000000,69791.0000000,69364.0000000,69570.0000000,658238
SPFB.Si,D,20230125,000000,69570.0000000,69987.0000000,69421.0000000,69857.0000000,767748
SPFB.Si,D,20230126,000000,69857.0000000,70266.0000000,69276.0000000,69670.0000000,1189573
SPFB.Si,D,20230127,000000,69675.0000000,70175.0000000,69649.0000000,70050.0000000,821428
SPFB.Si,D,20230130,000000,70069.0000000,71320.0000000,69911.0000000,71304.0000000,898051
SPFB.Si,D,20230131,000000,71314.0000000,71525.0000000,70555.0000000,70597.0000000,1274234
SPFB.Si,D,20230201,000000,70599.0000000,71103.0000000,70505.0000000,70610.0000000,781263
SPFB.Si,D,20230202,000000,70620.0000000,71293.0000000,70383.0000000,70973.0000000,849914
SPFB.Si,D,20230203,000000,70974.0000000,71563.0000000,70907.0000000,71312.0000000,916534
SPFB.Si,D,20230206,000000,71340.0000000,71834.0000000,71001.0000000,71796.0000000,638451
SPFB.Si,D,20230207,000000,71785.0000000,71909.0000000,71338.0000000,71450.0000000,723791
SPFB.Si,D,20230208,000000,71466.0000000,72778.0000000,71466.0000000,72750.0000000,1147927
SPFB.Si,D,20230209,000000,72770.0000000,73485.0000000,72703.0000000,72950.0000000,1311020
SPFB.Si,D,20230210,000000,72925.0000000,73340.0000000,72327.0000000,72799.0000000,1294437
SPFB.Si,D,20230213,000000,72821.0000000,73400.0000000,72776.0000000,73094.0000000,1027257
SPFB.Si,D,20230214,000000,73119.0000000,73467.0000000,72077.0000000,72850.0000000,1276179
SPFB.Si,D,20230215,000000,72891.0000000,73716.0000000,72824.0000000,73510.0000000,1221564
SPFB.Si,D,20230216,000000,73510.0000000,74674.0000000,73433.0000000,74200.0000000,1471773
SPFB.Si,D,20230217,000000,74200.0000000,74567.0000000,73050.0000000,73118.0000000,2143419
SPFB.Si,D,20230220,000000,73075.0000000,74328.0000000,72560.0000000,74221.0000000,1274366
SPFB.Si,D,20230221,000000,74212.0000000,74459.0000000,73400.0000000,74181.0000000,1147529
SPFB.Si,D,20230222,000000,74181.0000000,74777.0000000,73686.0000000,74636.0000000,921377
SPFB.Si,D,20230224,000000,74648.0000000,75784.0000000,73973.0000000,75576.0000000,1068293
SPFB.Si,D,20230227,000000,75525.0000000,75525.0000000,73511.0000000,73626.0000000,1396546
SPFB.Si,D,20230228,000000,73610.0000000,74364.0000000,73161.0000000,74226.0000000,1337125
SPFB.Si,D,20230301,000000,74243.0000000,74810.0000000,74119.0000000,74690.0000000,1194562
SPFB.Si,D,20230302,000000,74728.0000000,75414.0000000,74728.0000000,75093.0000000,911429
SPFB.Si,D,20230303,000000,75094.0000000,75380.0000000,74614.0000000,75209.0000000,878501
SPFB.Si,D,20230306,000000,75220.0000000,75635.0000000,74731.0000000,75084.0000000,1038241
SPFB.Si,D,20230307,000000,75084.0000000,75990.0000000,74808.0000000,75830.0000000,888399
SPFB.Si,D,20230309,000000,75831.0000000,75902.0000000,75451.0000000,75720.0000000,787038
SPFB.Si,D,20230310,000000,75711.0000000,76098.0000000,75711.0000000,76000.0000000,771027
SPFB.Si,D,20230313,000000,75998.0000000,75998.0000000,74772.0000000,74860.0000000,1489886
SPFB.Si,D,20230314,000000,74868.0000000,75560.0000000,74868.0000000,75467.0000000,877735
SPFB.Si,D,20230315,000000,75156.0000000,75844.0000000,75030.0000000,75700.0000000,568509
SPFB.Si,D,20230316,000000,75749.0000000,76629.0000000,75177.0000000,76340.0000000,1816382
SPFB.Si,D,20230317,000000,76330.0000000,76963.0000000,75965.0000000,76787.0000000,1622152
SPFB.Si,D,20230320,000000,76763.0000000,77633.0000000,76520.0000000,77090.0000000,1221472
SPFB.Si,D,20230321,000000,77097.0000000,77438.0000000,76624.0000000,76691.0000000,794417
SPFB.Si,D,20230322,000000,76705.0000000,77503.0000000,76600.0000000,77319.0000000,855766
SPFB.Si,D,20230323,000000,77317.0000000,77317.0000000,75757.0000000,76110.0000000,1250036
SPFB.Si,D,20230324,000000,76120.0000000,77147.0000000,75900.0000000,76961.0000000,1278056
SPFB.Si,D,20230327,000000,76923.0000000,76998.0000000,76457.0000000,76604.0000000,785538
SPFB.Si,D,20230328,000000,76600.0000000,77286.0000000,76370.0000000,77099.0000000,723013
SPFB.Si,D,20230329,000000,77096.0000000,77417.0000000,76963.0000000,77327.0000000,566265
SPFB.Si,D,20230330,000000,77326.0000000,77567.0000000,76853.0000000,77375.0000000,1080348
SPFB.Si,D,20230331,000000,77370.0000000,78235.0000000,77293.0000000,77806.0000000,883275
SPFB.Si,D,20230403,000000,77808.0000000,78989.0000000,77448.0000000,78850.0000000,834545
SPFB.Si,D,20230404,000000,78860.0000000,79777.0000000,78860.0000000,79688.0000000,970056
SPFB.Si,D,20230405,000000,79658.0000000,80171.0000000,79407.0000000,80150.0000000,770103
SPFB.Si,D,20230406,000000,80150.0000000,81790.0000000,80112.0000000,81720.0000000,1128114
SPFB.Si,D,20230407,000000,81727.0000000,83172.0000000,80520.0000000,81017.0000000,2427761
SPFB.Si,D,20230410,000000,81025.0000000,81745.0000000,80613.0000000,81395.0000000,1700100
SPFB.Si,D,20230411,000000,81395.0000000,82450.0000000,81210.0000000,82150.0000000,944263
SPFB.Si,D,20230412,000000,82153.0000000,82337.0000000,81331.0000000,81553.0000000,722188
SPFB.Si,D,20230413,000000,81595.0000000,81825.0000000,80831.0000000,81446.0000000,948160
SPFB.Si,D,20230414,000000,81415.0000000,81470.0000000,80831.0000000,81239.0000000,826961
SPFB.Si,D,20230417,000000,81288.0000000,81847.0000000,80272.0000000,80373.0000000,1228931
SPFB.Si,D,20230418,000000,80373.0000000,80899.0000000,80180.0000000,80701.0000000,685353
SPFB.Si,D,20230419,000000,80713.0000000,81370.0000000,80300.0000000,81270.0000000,1062044
SPFB.Si,D,20230420,000000,81270.0000000,81305.0000000,80460.0000000,80714.0000000,868579
SPFB.Si,D,20230421,000000,80712.0000000,80990.0000000,80339.0000000,80707.0000000,591377
SPFB.Si,D,20230424,000000,80681.0000000,80743.0000000,79937.0000000,80140.0000000,812121
SPFB.Si,D,20230425,000000,80148.0000000,80970.0000000,80142.0000000,80403.0000000,1022639
SPFB.Si,D,20230426,000000,80400.0000000,81051.0000000,80243.0000000,80946.0000000,684142
SPFB.Si,D,20230427,000000,80988.0000000,81175.0000000,80065.0000000,80317.0000000,804009
SPFB.Si,D,20230428,000000,80317.0000000,80676.0000000,78250.0000000,79310.0000000,1791264
SPFB.Si,D,20230502,000000,79338.0000000,79630.0000000,78206.0000000,78586.0000000,1168695
SPFB.Si,D,20230503,000000,78586.0000000,78848.0000000,77641.0000000,78220.0000000,958268
SPFB.Si,D,20230504,000000,78239.0000000,78280.0000000,76406.0000000,77136.0000000,1437724
SPFB.Si,D,20230505,000000,77086.0000000,77086.0000000,75424.0000000,76421.0000000,1595824
SPFB.Si,D,20230508,000000,76449.0000000,77610.0000000,75566.0000000,77276.0000000,763645
SPFB.Si,D,20230510,000000,77257.0000000,77275.0000000,75205.0000000,75289.0000000,1353899
SPFB.Si,D,20230511,000000,75291.0000000,77687.0000000,74736.0000000,77423.0000000,2284511
SPFB.Si,D,20230512,000000,77367.0000000,78129.0000000,76530.0000000,77699.0000000,1372044
SPFB.Si,D,20230515,000000,77720.0000000,79477.0000000,77720.0000000,79234.0000000,1212820
SPFB.Si,D,20230516,000000,79221.0000000,80330.0000000,79221.0000000,80330.0000000,1278732
SPFB.Si,D,20230517,000000,80330.0000000,80682.0000000,79006.0000000,79105.0000000,1455318
SPFB.Si,D,20230518,000000,79122.0000000,80200.0000000,78827.0000000,80077.0000000,1407010
SPFB.Si,D,20230519,000000,80065.0000000,80082.0000000,79220.0000000,79570.0000000,824836
SPFB.Si,D,20230522,000000,79574.0000000,79995.0000000,79275.0000000,79745.0000000,846144
SPFB.Si,D,20230523,000000,79752.0000000,80293.0000000,79441.0000000,80048.0000000,1011864
SPFB.Si,D,20230524,000000,80032.0000000,80250.0000000,79582.0000000,79980.0000000,694527
SPFB.Si,D,20230525,000000,80017.0000000,80220.0000000,79512.0000000,80074.0000000,850172
SPFB.Si,D,20230526,000000,80042.0000000,80096.0000000,79581.0000000,79934.0000000,658941
SPFB.Si,D,20230529,000000,79934.0000000,80932.0000000,79731.0000000,80848.0000000,1082581
SPFB.Si,D,20230530,000000,80856.0000000,81323.0000000,80088.0000000,80731.0000000,1094854
SPFB.Si,D,20230531,000000,80747.0000000,81180.0000000,80540.0000000,80735.0000000,1002344
SPFB.Si,D,20230601,000000,80738.0000000,81030.0000000,80180.0000000,80531.0000000,993678
SPFB.Si,D,20230602,000000,80529.0000000,81470.0000000,80346.0000000,81431.0000000,1016842
SPFB.Si,D,20230605,000000,81437.0000000,81734.0000000,80480.0000000,80749.0000000,901493
SPFB.Si,D,20230606,000000,80750.0000000,81573.0000000,80635.0000000,81375.0000000,788905
SPFB.Si,D,20230607,000000,81375.0000000,81990.0000000,81128.0000000,81884.0000000,846180
